20120601000000,64355,51726.33,59400,12628.67,24.41439,12628.67,24.41439
20120601010000,64355,50066.45,60800,14288.56,28.53919,14288.56,28.53919
20120601020000,64355,50088.5,60800,14266.5,28.48257,14266.5,28.48257
20120601030000,64845,49713.66,60800,15131.34,30.437,15131.34,30.437
20120601040000,64845,49968.15,60800,14876.85,29.77267,14876.85,29.77267
20120601050000,64845,50376.35,60800,14468.65,28.72112,14468.65,28.72112
20120601060000,64803,50830.58,60800,13972.42,27.48822,13972.42,27.48822
20120601070000,64803,52166.055,60800,12636.945,24.305925,12636.945,24.305925
20120601080000,64803,53501.53,60800,11301.47,21.12363,11301.47,21.12363
20120601090000,64803,57893.48,60800,6909.514,11.93487,6909.514,11.93487
20120601100000,64740,58892.66,60800,5847.346,9.92882,5847.346,9.92882
20120601110000,64740,59923.71,60800,4816.291,8.037372,4816.291,8.037372
20120601120000,64740,58121.13,60800,6618.87,11.38806,6618.87,11.38806
20120601130000,64740,57258.9,60800,7481.1,13.06539,7481.1,13.06539
20120601140000,64740,59747.49,60800,4992.514,8.356023,4992.514,8.356023
20120601150000,64740,59601.55,60800,5138.448,8.621332,5138.448,8.621332
20120601160000,64582,59993.87,60800,4588.132,7.647668,4588.132,7.647668
20120601170000,64445,59287.95,60800,5157.05,8.698311,5157.05,8.698311
20120601180000,64909,58414.23,60800,6494.769,11.11847,6494.769,11.11847
20120601190000,64909,57962.77,60800,6946.229,11.98395,6946.229,11.98395
20120601200000,65059,57769.195,60800,7289.8045,12.62098,7289.8045,12.62098
20120601210000,65209,57575.62,60800,7633.38,13.25801,7633.38,13.25801
20120601220000,65209,56308.8,60800,8900.204,15.80606,8900.204,15.80606
20120601230000,65273,54252.87,60800,11020.13,20.31254,11020.13,20.31254
20120602000000,65273,51582.99,59400,13690.01,26.53977,13690.01,26.53977
20120602010000,65273,49102.69,54500,16170.31,32.93161,16170.31,32.93161
20120602020000,65273,48789.27,54500,16483.74,33.78558,16483.74,33.78558
20120602030000,61860,48386.27,54500,13473.73,27.84618,13473.73,27.84618
20120602040000,61860,48029.77,54500,13830.23,28.79512,13830.23,28.79512
20120602050000,61484,47528.8,54500,13955.2,29.36156,11853.2,24.93898
20120602060000,61484,49013.48,54500,12470.52,25.44305,10368.52,21.15444
20120602070000,61829,49560.23,54500,12268.77,24.75526,10166.77,20.51396
20120602080000,61829,49584.69,54500,12244.31,24.69372,10854.31,21.89044
20120602090000,61869,53096,54500,8773.001,16.5229,7383.001,13.905
20120602100000,61869,54733.12,54500,7135.878,13.03759,6099.878,11.14476
20120602110000,61913,56046.03,54500,5866.971,10.46813,5602.971,9.997088
20120602120000,61913,55096.5,54500,6816.506,12.37194,6724.506,12.20496
20120602130000,62033,54254.51,54500,7778.489,14.33704,7514.489,13.85044
20120602140000,62033,55834.27,54500,6198.735,11.10203,5934.735,10.6292
20120602150000,62117,55485.48,54500,6631.525,11.95182,6367.525,11.47602
20120602160000,62773,54869.35,54500,7903.65,14.40449,6891.65,12.56011
20120602170000,62910,53161.08,56300,9748.92,18.33845,8736.92,16.4348
20120602180000,62910,52252.04,56300,10657.96,20.39721,9645.959,18.46044
20120602190000,62910,52321.02,56300,10588.99,20.23849,9576.986,18.30428
20120602200000,62910,53842.02,56300,9067.98,16.84183,8055.98,14.96225
20120602210000,62910,53560.64,56300,9349.359,17.45565,8337.359,15.5662
20120602220000,62910,52663.8,56300,10246.2,19.45587,9234.2,17.53425
20120602230000,62910,50927.7,56300,11982.3,23.52806,10970.3,21.54092
20120603000000,61860,46078.65,51300,15781.35,34.24873,14769.35,32.05248
20120603010000,61860,46078.65,51300,15781.35,34.24873,14769.35,32.05248
20120603020000,61860,45419.94,51300,16440.06,36.19568,15428.06,33.96758
20120603030000,61860,45155.71,51300,16704.29,36.99263,15692.29,34.7515
20120603040000,65141,45032.79,51300,20108.21,44.65237,19096.21,42.40512
20120603050000,64639,45334.2,51300,19304.8,42.5833,15251.8,33.64303
20120603060000,62799,45232.54,51300,17566.46,38.83589,13513.46,29.87552
20120603070000,62622,45672.11,51300,16949.89,37.11214,12896.89,28.23801
20120603080000,62312,44910.84,51300,17401.16,38.74603,13348.16,29.72148
20120603090000,62312,45823.61,51300,16488.39,35.9823,12792.39,27.91659
20120603100000,62702,47012.41,51300,15689.59,33.37328,12348.59,26.26665
20120603110000,62702,48021.74,51300,14680.26,30.57003,11339.26,23.61277
20120603120000,62702,48240.06,51300,14461.94,29.97911,11474.94,23.78716
20120603130000,62702,48351.75,51300,14350.26,29.67888,11363.26,23.50123
20120603140000,62702,49079.64,51300,13622.36,27.75561,10635.36,21.66959
20120603150000,62702,49277.93,51300,13424.07,27.24155,10437.07,21.18002
20120603160000,62702,48855.66,51300,13846.34,28.34132,10859.34,22.22739
20120603170000,62702,48856.37,51300,13845.63,28.33945,10858.63,22.22561
20120603180000,62702,49088.55,51300,13613.45,27.73244,10626.45,21.64752
20120603190000,62702,49750.78,51300,12951.22,26.03219,9964.22,20.02827
20120603200000,62702,51564.27,51300,11137.73,21.5997,8150.73,15.80693
20120603210000,62702,51731.12,51300,10970.88,21.20751,7983.883,15.43343
20120603220000,62702,50757.73,51300,11944.27,23.53191,8957.266,17.64709
20120603230000,62702,49059.22,51300,13642.78,27.8088,10655.78,21.72024
20120604000000,62702,46013.46,59400,16688.54,36.26881,13701.54,29.77723
20120604010000,62702,44209.13,62700,18492.87,41.83044,15505.87,35.07392
20120604020000,62702,43797.56,62700,18904.44,43.16323,15917.44,36.34322
20120604030000,62702,43758.98,62700,18943.02,43.28943,15956.02,36.46341
20120604040000,66830,43777.7,62700,23052.29,52.65762,20065.29,45.83451
20120604050000,66830,44233.72,62700,22596.28,51.08384,19609.28,44.33107
20120604060000,66830,44976.6,62700,21853.4,48.58838,18866.4,41.94715
20120604070000,67273,48326.18,62700,18946.82,39.20613,15959.82,33.02522
20120604080000,67273,51899.23,62700,15373.76,29.62233,15373.76,29.62233
20120604090000,67265,58122.29,62700,9142.708,15.73012,9142.708,15.73012
20120604100000,67127,60007.71,62700,7119.288,11.86395,7119.288,11.86395
